Lat,Long_,Deaths,Case_Fatality_Ratio,Cases,Deaths_Predicted,Case_Fatality_Ratio_Predicted,Cases_Predicted,Abs_Deaths,Abs_Case_Fatality_Ratio,Abs_Cases
42.5063,1.5218,165,0.345542501727713,47751,151.80004,0.34556,47751.00003,13.19996,1.7498272287475E-05,3.00000028801151E-05
17.0608,-61.7964,146,1.60333845815946,9106,88.55002,1.08679,5254.49999,57.44998,0.516548458159455,3851.50001
-35.4735,149.0124,138,0.0613600590479408,224902,126.96,0.06138,224902.00004,11.04,1.99409520591984E-05,3.99997225031257E-05
-12.4634,130.8456,84,0.0815518145278732,103002,96.60002,0.08159,103002.00004,12.60002,3.81854721267921E-05,3.9999998989515E-05
9.3077,2.3158,163,0.582517332570938,27982,138.55,0.58254,27981.99995,24.45,2.26674290615403E-05,4.99999987368938E-05
27.5142,90.4336,21,0.0335833426620396,62531.0000000001,19.32004,0.03354,62530.99999,1.67996,4.33426620395985E-05,1.00000543170609E-05
-3.3731,29.9189,38,0.0730053217037136,52051.0000000001,34.96001,0.07305,52051.00002,3.03999,4.46782962864045E-05,1.99999485630542E-05
64.8255,-124.8457,22,0.191121535922161,11511,20.24,0.19117,11510.99995,1.76,4.84640778385947E-05,5.00000005558832E-05
70.2998,-83.1076,7,0.198244123477768,3531,6.43996,0.1982,3530.99997,0.56004,4.41234777683042E-05,3.00000010611257E-05
46.5107,-63.4168,82,0.147272759927441,55679,75.44002,0.1473,55679.00004,6.55998,2.72400725587763E-05,3.99999917135574E-05
64.2823,-135,32,0.641411104429746,4989,29.43998,0.64144,4989.00004,2.56002,2.8895570254539E-05,3.99999998990097E-05
6.6111,20.9394,113,0.736108396847111,15351,96.04998,0.73608,15350.99999,16.95002,2.83968471109786E-05,9.99999974737875E-06
15.4542,18.7322,194,2.53561625931251,7651,131.92001,2.53565,7651.00001,62.07999,3.37406874919566E-05,9.99999883788405E-06
31.8257,117.2264,7,0.352941176470588,1983.33333333333,5.59997,0.3529,1983.33336,1.40003,4.11764705882112E-05,2.66666670540872E-05
40.1824,116.4142,20,0.0693000693000693,28860,16,0.06929,28860,4,1.00693000692903E-05,0
30.0572,107.874,9,0.0687555249975444,13089.8571428572,7.19998,0.06875,13089.85712,1.80002,5.52499754440106E-06,2.28571498155361E-05
26.0789,117.9874,2,0.0130701869036727,15302,1.60001,0.01312,15302.00003,0.39999,4.98130963272996E-05,2.99999701383058E-05
35.7518,104.2861,2,0.127959053103007,1563,1.60003,0.12798,1562.99997,0.39997,2.09468969930016E-05,2.99999999242573E-05
23.3417,113.4244,9,0.012551185302562,71706.3750000001,7.20002,0.01251,71706.37499,1.79998,4.11853025619989E-05,1.00000761449337E-05
23.8298,108.7881,2,0.0814000814000814,2457,1.35998,0.08136,2457.00003,0.64002,4.00814000813959E-05,3.0000000151631E-05
26.8154,106.8748,2,0.111482720178372,1794,1.60004,0.11143,1793.99996,0.39996,5.27201783722953E-05,4.00000008085044E-05
19.1959,109.7453,6,0.0574932924492142,10436,5.52004,0.0575,10436,0.47996,6.70755078580054E-06,0
37.8957,114.9042,7,0.237852531430513,2943,4.75998,0.23787,2942.99996,2.24002,1.74685694870058E-05,4.00000008085044E-05
47.862,127.7615,15,0.23666484616785,6338.07692307692,13.8,0.23664,6338.07695,1.2,2.48461678500067E-05,2.69230768026318E-05
33.882,113.614,23,0.253053141159644,9089,18.40002,0.25304,9089.00005,4.59998,1.31411596435149E-05,4.99999987368938E-05
27.6104,111.7088,4,0.134093194770365,2983,3.20003,0.13405,2982.99996,0.79997,4.31947703654068E-05,3.99999998990097E-05
44.0935,113.9448,1,0.0119132713843221,8394.00000000003,0.92004,0.01196,8394,0.07996,4.67286156779004E-05,0
27.614,115.7221,1,0.0507356671740233,1971,0.80002,0.05069,1971.00002,0.19998,4.5667174023302E-05,1.99999979031418E-05
43.6661,126.1923,5,0.0123502531801901,40485.0000000003,4.60002,0.01231,40485.00003,0.39998,4.02531801900995E-05,2.99996900139377E-05
41.2956,122.6085,2,0.0648088139987038,3086,1.84002,0.06485,3086.00004,0.15998,4.11860012962118E-05,3.9999998989515E-05
22.1667,113.55,61,0.82855321861058,7362.23076923077,48.80001,0.82858,7362.23074,12.19999,2.67813894200275E-05,2.92307704512496E-05
35.1917,108.8701,5,0.0536768652710681,9315.00000000001,4,0.05365,9315.00001,1,2.68652710680994E-05,9.99998701445293E-06
36.3427,118.1498,9,0.166770898478216,5396.625,6.11997,0.16673,5396.62495,2.88003,4.08984782155064E-05,5.00000014653779E-05
30.6171,102.7103,11,0.0415869583298677,26450.6,8.80001,0.04159,26450.59996,2.19999,3.04167013229911E-06,4.00000317313243E-05
39.3054,117.323,3,0.102986611740474,2913,2.03998,0.10298,2913.00001,0.96002,6.61174047369983E-06,9.9999992926314E-06
41.1129,85.2401,3,0.113981762917933,2632,2.76,0.11397,2631.99997,0.24,1.1762917933103E-05,3.00000010611257E-05
24.974,101.487,2,0.0359647545405502,5561.00000000001,1.83998,0.036,5561.00002,0.16002,3.52454594497939E-05,1.99999913093052E-05
29.1832,120.0934,1,0.0160384923817161,6235.00000000001,0.68002,0.016,6234.99999,0.31998,3.84923817161008E-05,1.00000061138417E-05
2.5854,-68.5247,37,1.32474042248478,2793,44.39997,1.32475,2792.99999,7.39997,9.57751521712957E-06,1.00000011116208E-05
1.0654,-73.2603,105,1.85152530417916,5671,104.99998,1.85151,5671.00004,2.00000000063483E-05,1.53041791570718E-05,3.99999998990097E-05
12.5567,-81.7185,156,1.50797486708555,10345,179.39999,1.50798,10344.99996,23.39999,5.1329144510337E-06,4.00000008085044E-05
0.8554,-70.812,22,1.12244897959184,1960,25.29997,1.12248,1960.00001,3.29997,3.10204081628296E-05,9.99999997475243E-06
4.4234,-69.2878,64,1.84491207840876,3469,76.80005,1.84495,3469.00003,12.80005,3.79215912360564E-05,3.00000019706204E-05
-11.6455,43.3333,161,1.79227429589224,8983,185.14999,1.79227,8983,24.14999,4.29589224104632E-06,0
61.8926,-6.9118,28,0.0807894281262623,34658,22.40003,0.08081,34658.00001,5.59997,2.05718737377042E-05,9.99999610939995E-06
71.7069,-42.6043,21,0.175423941191212,11971,19.32005,0.1754,11970.99998,1.67995,2.39411912121013E-05,1.99999994947575E-05
11.8251,42.5903,189,1.20458891013384,15690,189.00004,1.20461,15690,4.00000000126965E-05,2.10898661570091E-05,0
15.415,-61.371,74,0.469543147208122,15760,74.00005,0.46958,15760.00003,5.00000000016598E-05,3.68527918782058E-05,2.99999992421363E-05
1.6508,10.2679,183,1.0648202024904,17186,168.36001,1.06483,17186.00004,14.63999,9.79750960095061E-06,3.9999998989515E-05
15.1794,39.7823,103,1.01089410148199,10189,118.45003,1.01085,10188.99995,15.45003,4.41014819900776E-05,5.00000005558832E-05
-12.8275,45.166244,188,0.447693663229586,41993,216.20006,0.44772,41993,28.20006,2.63367704141926E-05,0
17.9,-62.8333,6,0.111069974083673,5402,43.20001,0.48923,7809.19997,37.20001,0.378160025916327,2407.19997
46.8852,-56.3159,2,0.0597193191997611,3349,1.83997,0.05974,3348.99997,0.16003,2.06808002388981E-05,3.00000010611257E-05
18.0708,-63.0501,63,0.517241379310345,12180,49.67995,0.48918,7809.20002,13.32005,0.0280613793103449,4370.79998
-14.2938,-178.1165,7,0.2042602859644,3427,7.00004,0.20428,3427.00003,4.00000000002621E-05,1.97140355996939E-05,2.99999992421363E-05
11.8037,-15.1804,176,1.96713982340449,8947,202.39996,1.96717,8947.00005,26.39996,3.0176595507081E-05,5.00000005558832E-05
11.225999,92.968178,129,1.20033497720294,10747,148.35,1.2003,10746.99997,19.35,3.49772029399897E-05,2.99999992421363E-05
20.194742,73.080901,4,0.0345095332585626,11591,3.40004,0.03448,11591,0.59996,2.95332585626001E-05,0
13.6999972,72.1833326,52,0.455540954883925,11415,52.00004,0.45554,11414.99999,3.99999999984857E-05,9.54883924597638E-07,9.99999974737875E-06
35.846614,136.224654,151,0.086935495014163,173692,138.92001,0.08689,173692.00001,12.07999,4.54950141630106E-05,9.99998883344233E-06
35.07076,132.554064,193,0.137954696535407,139901,154.39998,0.13791,139900.99996,38.60002,4.46965354070905E-05,4.00001008529216E-05
35.359069,133.863619,161,0.140696140031984,114431,148.12004,0.14074,114430.99996,12.87996,4.38599680157026E-05,3.9999998989515E-05
-3.3704,-168.734,13,0.379008746355685,3430,12.99999,0.37897,3430.00005,9.99999999962142E-06,3.87463556851264E-05,5.00000001011358E-05
40.3399,127.5101,6,600,1,5.52003,600.00001,0.99996,0.47997,9.99999997475243E-06,4.000000000004E-05
47.14,9.55,88,0.413223140495868,21296,80.96,0.41319,21295.99997,7.04000000000001,3.31404958677783E-05,2.99999992421363E-05
6.4449,100.2048,197,1.03875560242552,18965,226.54997,1.03878,18964.99999,29.54997,2.43975744791403E-05,9.99999974737875E-06
5.2831,115.2308,158,0.689384353593089,22919,181.7,0.6894,22918.99999,23.7,1.56464069113182E-05,9.99999974737875E-06
2.9264,101.6964,31,0.0963211533681332,32184,35.64999,0.09634,32184.00001,4.64999,1.88466318667979E-05,9.99998883344233E-06
7.1315,171.1845,17,0.109296643950109,15554,19.55001,0.10933,15554.00004,2.55001,3.3356049890701E-05,4.00000008085044E-05
7.4256,150.5508,58,0.261225960455794,22203,66.69999,0.2612,22202.99998,8.69999,2.59604557942272E-05,1.99999994947575E-05
43.7333,7.4167,65,0.407064128256513,15968,59.79998,0.40711,15968.00003,5.20002,4.58717434870248E-05,2.99999992421363E-05
-0.5228,166.9315,1,0.0216403375892663,4621.00000000002,1.15,0.02167,4621.00002,0.15,2.96624107336968E-05,1.99999813048635E-05
12.1784,-68.2385,39,0.332878115397747,11716,39.00002,0.33289,11715.99996,1.99999999992428E-05,1.18846022533203E-05,4.00000008085044E-05
18.0425,-63.0548,89,0.809238043280597,10998,49.67996,0.48914,7809.20005,39.32004,0.320098043280596,3188.79995
-21.2367,-159.7777,1,0.0156519017060572,6389.00000000004,1.15003,0.01567,6388.99996,0.15003,1.80982939427983E-05,4.00000344598084E-05
35.792146,74.982138,191,1.57994871370668,12089,152.80004,1.57997,12089.00001,38.19996,2.12862933250957E-05,9.99999974737875E-06
7.515,134.5825,9,0.150728521185731,5971,10.34995,0.15077,5971,1.34995,4.1478814268997E-05,0
66.0006475,169.4900869,45,0.652552204176334,6896,41.40002,0.65254,6895.99997,3.59998,1.22041763340741E-05,3.00000010611257E-05
68.27557185,57.1686375,103,1.23427201917316,8345,94.76002,1.23431,8345.00001,8.23998,3.79808268420323E-05,1.00000015663682E-05
17.357822,-62.782998,46,0.701005790917403,6562,48.76003,0.54171,7308.99998,2.76003,0.159295790917403,746.99998
12.9843,-61.2872,119,1.24764101488782,9538,136.85003,1.24765,9537.99995,17.85003,8.98511218294651E-06,5.00000023748726E-05
-13.759,-172.1046,29,0.181454135902891,15982,33.35004,0.18148,15981.99995,4.35004,2.58640971093072E-05,5.00000005558832E-05
43.9424,12.4578,121,0.522091819123231,23176,96.79999,0.52205,23175.99999,24.20001,4.18191232308685E-05,9.99999974737875E-06
0.1864,6.6131,77,1.2263099219621,6279,88.55003,1.22633,6278.99996,11.55003,2.00780379038257E-05,3.9999998989515E-05
-4.6796,55.492,172,0.341574818786615,50355,197.80002,0.34159,50355,25.80002,1.51812133850071E-05,0
